epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,4569.77,0.18671,0.06077,0.1854,0.9066,0,0.9977,1,0.995,0.99433,0.9977,1,0.995,0.995,0.23575,0.04528,0.26282,0.33215,0,0.000608468,0.000608468,0.000608468
31,4724.73,0.17614,0.06085,0.1766,0.90555,0,0.99809,1,0.995,0.98451,0.99809,1,0.995,0.995,0.21591,0.03761,0.28766,0.30869,0,0.000580174,0.000580174,0.000580174
32,4881.18,0.182,0.06156,0.18102,0.90837,0,0.94582,0.98674,0.995,0.96234,0.94582,0.98674,0.995,0.995,0.28557,0.03572,0.39755,0.35032,0,0.00055188,0.00055188,0.00055188
33,5038.17,0.17961,0.05861,0.17201,0.89994,0,0.99773,1,0.995,0.9785,0.99773,1,0.995,0.995,0.33902,0.03552,0.39514,0.41149,0,0.000523586,0.000523586,0.000523586
34,5189.4,0.17609,0.06275,0.17088,0.89687,0,0.99796,1,0.995,0.9935,0.99796,1,0.995,0.995,0.29986,0.03589,0.37162,0.37072,0,0.000495291,0.000495291,0.000495291
35,5339.25,0.16946,0.05956,0.16896,0.90346,0,0.99602,0.98655,0.995,0.98774,0.99602,0.98655,0.995,0.995,0.24797,0.03546,0.27624,0.33261,0,0.000466997,0.000466997,0.000466997
36,5493.18,0.17254,0.05955,0.16568,0.90676,0,0.99816,1,0.995,0.99209,0.99816,1,0.995,0.995,0.24893,0.03516,0.29773,0.31881,0,0.000438703,0.000438703,0.000438703
37,5646.28,0.16901,0.05935,0.16168,0.90217,0,0.99834,1,0.995,0.97497,0.99834,1,0.995,0.995,0.30379,0.03539,0.28079,0.35953,0,0.000410409,0.000410409,0.000410409
38,5808.95,0.17066,0.05997,0.15963,0.90268,0,0.99834,1,0.995,0.99433,0.99834,1,0.995,0.995,0.21726,0.03574,0.28082,0.29789,0,0.000382115,0.000382115,0.000382115
39,6037.51,0.17017,0.06167,0.16108,0.89989,0,0.99797,1,0.995,0.99433,0.99797,1,0.995,0.995,0.2671,0.03522,0.33117,0.32956,0,0.00035382,0.00035382,0.00035382
40,6296.57,0.15966,0.05801,0.14435,0.89802,0,0.9983,1,0.995,0.93695,0.9983,1,0.995,0.995,0.28016,0.03664,0.29617,0.33775,0,0.000325526,0.000325526,0.000325526
41,6526.25,0.06745,0.08178,0.15532,0.91482,0,0.99835,1,0.995,0.99347,0.99835,1,0.995,0.995,0.2328,0.03926,0.4097,0.33759,0,0.000297232,0.000297232,0.000297232
42,6763.86,0.06135,0.03322,0.10156,0.90394,0,0.99816,1,0.995,0.99433,0.99816,1,0.995,0.995,0.25726,0.03885,0.31373,0.32932,0,0.000268938,0.000268938,0.000268938
43,6999.52,0.05075,0.03145,0.08484,0.91816,0,0.99832,1,0.995,0.99065,0.99832,1,0.995,0.995,0.29383,0.0367,0.33032,0.35895,0,0.000240644,0.000240644,0.000240644
44,7234.06,0.04673,0.03655,0.09089,0.90649,0,0.99805,1,0.995,0.97731,0.99805,1,0.995,0.995,0.27456,0.03603,0.3571,0.33944,0,0.000212349,0.000212349,0.000212349
45,7471.76,0.0453,0.02893,0.07658,0.89803,0,0.99831,1,0.995,0.99433,0.99831,1,0.995,0.995,0.26416,0.03455,0.3348,0.34114,0,0.000184055,0.000184055,0.000184055
46,7708.2,0.04286,0.02834,0.07196,0.89436,0,0.99839,1,0.995,0.99433,0.99839,1,0.995,0.995,0.23085,0.03435,0.31163,0.30692,0,0.000155761,0.000155761,0.000155761
47,7940.13,0.03792,0.02759,0.062,0.89914,0,0.99841,1,0.995,0.99433,0.99841,1,0.995,0.995,0.25976,0.03374,0.34096,0.3295,0,0.000127467,0.000127467,0.000127467
48,8170.89,0.03586,0.02788,0.0608,0.90315,0,0.99833,1,0.995,0.99433,0.99833,1,0.995,0.995,0.2473,0.03373,0.3577,0.31675,0,9.91726e-05,9.91726e-05,9.91726e-05
49,8396.59,0.03613,0.02824,0.0578,0.89262,0,0.99829,1,0.995,0.9923,0.99829,1,0.995,0.995,0.25947,0.03402,0.34837,0.33281,0,7.08784e-05,7.08784e-05,7.08784e-05
50,8619.68,0.03292,0.02761,0.05495,0.88936,0,0.99836,1,0.995,0.98903,0.99836,1,0.995,0.995,0.25095,0.03392,0.34345,0.32453,0,4.25842e-05,4.25842e-05,4.25842e-05
