timestamp,dispositivo_id,latitud,longitud,voltaje,corriente,potencia,potencia_calculada,soc,ttg_min,ah_consumidos,motor_voltaje,motor_corriente,motor_potencia,motor_rpm,motor_temp,tiempo_acumulado(s),delta_t_s,energia_wh,energia_acumulada_wh
2026-07-17T12:24:03.928296,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,0,,,0.0
2026-07-17T12:24:04.193362,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,0,,,0.0
2026-07-17T12:24:04.928622,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,0,0.8,0.0,0.0
2026-07-17T12:24:05.928672,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,1,0.89,0.0,0.0
2026-07-17T12:24:06.928815,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,2,0.96,0.0,0.0
2026-07-17T12:24:07.928908,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,3,1.06,0.0,0.0
2026-07-17T12:24:08.929050,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,4,0.98,0.0,0.0
2026-07-17T12:24:09.929186,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,5,1.09,0.0,0.0
2026-07-17T12:24:10.929322,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,6,0.9,0.0,0.0
2026-07-17T12:24:11.929421,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,7,1.07,0.0,0.0
2026-07-17T12:24:12.929552,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,8,0.93,0.0,0.0
2026-07-17T12:28:24.342302,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,261,252.53,0.0,0.0
2026-07-17T12:28:25.937358,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,262,1.61,0.0,0.0
2026-07-17T12:28:27.557921,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,264,1.26,0.0,0.0
2026-07-17T12:28:28.804778,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,265,0.83,0.0,0.0
2026-07-17T12:28:29.804885,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,265,0.71,0.0,0.0
2026-07-17T12:28:30.805056,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,266,0.9,0.0,0.0
2026-07-17T12:28:31.805133,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,267,1.1,0.0,0.0
2026-07-17T12:28:32.805275,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,268,1.06,0.0,0.0
2026-07-17T12:28:33.805352,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,269,1.12,0.0,0.0
2026-07-17T12:28:34.805446,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,270,0.97,0.0,0.0
2026-07-17T12:28:35.805540,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,271,1.07,0.0,0.0
2026-07-17T12:28:36.805638,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,272,0.61,0.0,0.0
2026-07-17T12:28:37.805782,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,273,1.25,0.0,0.0
2026-07-17T12:28:38.805858,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,274,0.85,0.0,0.0
2026-07-17T12:28:39.805959,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,275,0.99,0.0,0.0
2026-07-17T12:28:40.806052,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,276,1.11,0.0,0.0
2026-07-17T12:28:41.806205,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,278,1.28,0.0,0.0
2026-07-17T12:28:42.806398,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,278,0.68,0.0,0.0
2026-07-17T12:28:43.806581,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,279,1.03,0.0,0.0
2026-07-17T12:28:44.806720,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,281,1.51,0.0,0.0
2026-07-17T12:28:45.878322,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,281,0.61,0.0,0.0
2026-07-17T12:28:46.878453,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,282,0.99,0.0,0.0
2026-07-17T12:28:47.878555,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,283,0.88,0.0,0.0
2026-07-17T12:28:48.878720,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,284,1.04,0.0,0.0
2026-07-17T12:28:49.878800,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,285,1.02,0.0,0.0
2026-07-17T12:28:50.878959,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,288,2.39,0.0,0.0
2026-07-17T12:28:52.811123,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,288,0.57,0.0,0.0
2026-07-17T12:28:53.811366,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,289,0.92,0.0,0.0
2026-07-17T12:28:54.811487,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,290,0.95,0.0,0.0
2026-07-17T12:28:55.811632,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,291,0.97,0.0,0.0
2026-07-17T12:28:56.811789,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,292,1.0,0.0,0.0
2026-07-17T12:28:57.811858,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,293,1.02,0.0,0.0
2026-07-17T12:28:58.812008,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,294,1.16,0.0,0.0
2026-07-17T12:28:59.812146,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,295,0.94,0.0,0.0
2026-07-17T12:29:00.812279,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,296,0.95,0.0,0.0
2026-07-17T12:29:01.812419,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,297,0.95,0.0,0.0
2026-07-17T12:29:02.812546,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,298,0.98,0.0,0.0
2026-07-17T12:29:03.812680,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,299,1.0,0.0,0.0
2026-07-17T12:29:04.812809,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,300,1.02,0.0,0.0
2026-07-17T12:29:05.812934,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,301,0.95,0.0,0.0
2026-07-17T12:29:06.813087,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,302,1.19,0.0,0.0
2026-07-17T12:29:07.813228,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,303,0.96,0.0,0.0
2026-07-17T12:31:01.073133,Raspberry_Relieve7,,,,,,0.0,,,,,,,,,429,125.74,0.0,0.0
