timestamp,dispositivo_id,latitud,longitud,voltaje,corriente,potencia,soc,ttg_min,ah_consumidos,motor_voltaje,motor_corriente,motor_potencia,motor_rpm,motor_temp,tiempo_acumulado,delta_t_s,energia_wh,energia_acumulada_wh
2026-07-07T16:15:59.938564,Raspberry_Relieve1,,,39.471,0.0,0,100.0,-1,0.0,,,,,,00:00:21,0.5,,0.0
2026-07-07T16:16:00.438641,Raspberry_Relieve1,,,39.472,0.0,0,100.0,-1,0.0,,,,,,00:00:21,0.51,,0.0
2026-07-07T16:16:00.938803,Raspberry_Relieve1,,,39.472,0.0,0,100.0,-1,0.0,,,,,,00:00:22,0.49,,0.0
2026-07-07T16:16:01.438879,Raspberry_Relieve1,,,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:22,0.5,,0.0
2026-07-07T16:16:01.938996,Raspberry_Relieve1,,,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:23,0.5,,0.0
2026-07-07T16:16:02.439056,Raspberry_Relieve1,,,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:23,0.5,,0.0
2026-07-07T16:16:02.939165,Raspberry_Relieve1,25.6524656,-100.2920738,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:24,0.51,,0.0
2026-07-07T16:16:03.439234,Raspberry_Relieve1,25.6524423,-100.29212875,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:24,0.49,,0.0
2026-07-07T16:16:03.939328,Raspberry_Relieve1,25.6524423,-100.29212875,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:25,0.51,,0.0
2026-07-07T16:16:04.439401,Raspberry_Relieve1,25.652443683333335,-100.29212088333334,39.476,0.0,0,100.0,-1,0.0,,,,,,00:00:25,0.48,,0.0
2026-07-07T16:16:04.939502,Raspberry_Relieve1,25.652443683333335,-100.29212088333334,39.476,0.0,0,100.0,-1,0.0,,,,,,00:00:26,0.5,,0.0
2026-07-07T16:16:05.439610,Raspberry_Relieve1,25.6524366,-100.29212546666666,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:26,0.5,,0.0
2026-07-07T16:16:05.939690,Raspberry_Relieve1,25.6524366,-100.29212546666666,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:27,0.49,,0.0
2026-07-07T16:16:06.439771,Raspberry_Relieve1,25.652430416666668,-100.29212861666667,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:27,0.52,,0.0
2026-07-07T16:16:06.939867,Raspberry_Relieve1,25.652430416666668,-100.29212861666667,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:28,0.49,,0.0
2026-07-07T16:16:07.439955,Raspberry_Relieve1,25.652425066666666,-100.2921243,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:28,0.5,,0.0
2026-07-07T16:16:07.940054,Raspberry_Relieve1,25.652425066666666,-100.2921243,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:29,0.5,,0.0
2026-07-07T16:16:08.440140,Raspberry_Relieve1,25.65242435,-100.29212701666667,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:29,0.51,,0.0
2026-07-07T16:16:08.940252,Raspberry_Relieve1,25.65242435,-100.29212701666667,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:30,0.49,,0.0
2026-07-07T16:16:09.440308,Raspberry_Relieve1,25.652422066666666,-100.29212363333333,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:30,0.51,,0.0
2026-07-07T16:16:09.940405,Raspberry_Relieve1,25.652422066666666,-100.29212363333333,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:31,0.51,,0.0
2026-07-07T16:16:10.440492,Raspberry_Relieve1,25.652416966666667,-100.29212411666667,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:31,0.49,,0.0
2026-07-07T16:16:10.940626,Raspberry_Relieve1,25.652416966666667,-100.29212411666667,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:32,0.49,,0.0
2026-07-07T16:16:11.440717,Raspberry_Relieve1,25.652411,-100.292124,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:32,0.5,,0.0
2026-07-07T16:16:11.940816,Raspberry_Relieve1,25.652411,-100.292124,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:33,0.51,,0.0
2026-07-07T16:16:12.440976,Raspberry_Relieve1,25.652406883333335,-100.29212161666666,39.472,0.0,0,100.0,-1,0.0,,,,,,00:00:33,0.5,,0.0
2026-07-07T16:16:12.941092,Raspberry_Relieve1,25.652406883333335,-100.29212161666666,39.472,0.0,0,100.0,-1,0.0,,,,,,00:00:34,0.5,,0.0
2026-07-07T16:16:13.441151,Raspberry_Relieve1,25.652402366666667,-100.29211996666666,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:34,0.49,,0.0
2026-07-07T16:16:13.941251,Raspberry_Relieve1,25.652402366666667,-100.29211996666666,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:35,0.5,,0.0
2026-07-07T16:16:14.441328,Raspberry_Relieve1,25.652396799999998,-100.2921178,39.472,0.0,0,100.0,-1,0.0,,,,,,00:00:35,0.52,,0.0
2026-07-07T16:16:14.941419,Raspberry_Relieve1,25.652396799999998,-100.2921178,39.472,0.0,0,100.0,-1,0.0,,,,,,00:00:36,0.48,,0.0
2026-07-07T16:16:15.441506,Raspberry_Relieve1,25.65239335,-100.29211736666667,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:36,0.51,,0.0
2026-07-07T16:16:15.941596,Raspberry_Relieve1,25.65239335,-100.29211736666667,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:37,0.49,,0.0
2026-07-07T16:16:16.441663,Raspberry_Relieve1,25.652390066666666,-100.29211663333334,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:37,0.48,,0.0
2026-07-07T16:16:16.941771,Raspberry_Relieve1,25.652390066666666,-100.29211663333334,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:38,0.5,,0.0
2026-07-07T16:16:17.441848,Raspberry_Relieve1,25.652389083333333,-100.29211746666667,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:38,0.51,,0.0
2026-07-07T16:16:17.941943,Raspberry_Relieve1,25.652389083333333,-100.29211746666667,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:39,0.5,,0.0
2026-07-07T16:16:18.442107,Raspberry_Relieve1,25.6523885,-100.29211796666667,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:39,0.53,,0.0
2026-07-07T16:16:18.942233,Raspberry_Relieve1,25.6523885,-100.29211796666667,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:40,0.51,,0.0
2026-07-07T16:16:19.442368,Raspberry_Relieve1,25.652388433333332,-100.29211806666666,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:40,0.49,,0.0
2026-07-07T16:16:19.942499,Raspberry_Relieve1,25.652388433333332,-100.29211806666666,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:41,0.48,,0.0
2026-07-07T16:16:20.442702,Raspberry_Relieve1,25.652388266666666,-100.2921183,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:41,0.51,,0.0
2026-07-07T16:16:20.942826,Raspberry_Relieve1,25.652388266666666,-100.2921183,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:42,0.5,,0.0
2026-07-07T16:16:21.442908,Raspberry_Relieve1,25.65238815,-100.29211848333334,39.476,0.0,0,100.0,-1,0.0,,,,,,00:00:42,0.5,,0.0
2026-07-07T16:16:21.943044,Raspberry_Relieve1,25.65238815,-100.29211848333334,39.476,0.0,0,100.0,-1,0.0,,,,,,00:00:43,0.55,,0.0
2026-07-07T16:16:22.443137,Raspberry_Relieve1,25.65238825,-100.29211903333334,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:43,0.45,,0.0
2026-07-07T16:16:22.943278,Raspberry_Relieve1,25.65238825,-100.29211903333334,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:44,0.54,,0.0
2026-07-07T16:16:23.443389,Raspberry_Relieve1,25.652388466666668,-100.29212006666667,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:44,0.46,,0.0
2026-07-07T16:16:23.943522,Raspberry_Relieve1,25.652388466666668,-100.29212006666667,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:45,0.5,,0.0
2026-07-07T16:16:24.443595,Raspberry_Relieve1,25.65238855,-100.29212053333333,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:45,0.5,,0.0
2026-07-07T16:16:24.943723,Raspberry_Relieve1,25.65238855,-100.29212053333333,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:46,0.5,,0.0
2026-07-07T16:16:25.443816,Raspberry_Relieve1,25.652388383333335,-100.29211998333334,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:46,0.51,,0.0
2026-07-07T16:16:25.943944,Raspberry_Relieve1,25.652388383333335,-100.29211998333334,39.474,0.0,0,100.0,-1,0.0,,,,,,00:00:47,0.5,,0.0
2026-07-07T16:16:26.444018,Raspberry_Relieve1,25.652388433333332,-100.29212,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:47,0.51,,0.0
2026-07-07T16:16:26.944130,Raspberry_Relieve1,25.652388433333332,-100.29212,39.475,0.0,0,100.0,-1,0.0,,,,,,00:00:48,0.46,,0.0
2026-07-07T16:16:27.444202,Raspberry_Relieve1,25.652388616666666,-100.2921205,39.473,0.0,0,100.0,-1,0.0,,,,,,00:00:48,0.5,,0.0
