fase,gen,nevals,Promedio,Max_Ganancia,Desviacion
1,0,50,818.2170410277824,1337.2621345946063,384.00111903325285
1,1,46,1118.671384351809,1337.2821345946063,199.202667744262
1,2,43,1213.1411990685276,1337.2621345946063,134.52196018851114
1,3,44,1297.4991908920442,1337.2621345946063,76.60676169417903
1,4,47,1329.0806884554838,1337.2821345946063,27.428179596963677
1,5,43,1336.9178482665507,1337.2821345946063,1.2243413150106381
2,0,50,731.5375701257607,1149.4409148913649,388.4975561979139
2,1,40,1051.19166212015,1149.4409148913649,204.97417277033583
2,2,47,1141.9358886176774,1151.250391056227,23.784531182415304
2,3,48,1148.2656470807817,1151.250391056227,5.204783482279573
2,4,41,1149.7596201605186,1151.250391056227,0.6938270192048945
2,5,46,1149.8020101243371,1151.250391056227,0.7242009603455769
3,0,50,738.526653937573,1218.7910604818487,434.9399809640457
3,1,42,1019.3515322204939,1218.7910604818487,303.51966734072613
3,2,44,1149.6236489015075,1218.7710604818487,154.53530764658723
3,3,47,1202.4263958492984,1218.8110604818487,67.60586427185798
3,4,47,1214.8481359400193,1218.8110604818487,18.165000372363252
3,5,44,1197.901937400776,1218.8110604818487,87.44893039757372
4,0,50,761.7670538329344,1078.101598451455,331.6227370396452
4,1,44,1017.0582675658881,1078.101598451455,126.3375514163515
4,2,45,1051.4297959410405,1078.101598451455,79.39134282903711
4,3,45,1078.1768537929706,1079.823457373262,0.550797279745122
4,4,42,1078.6473230716756,1079.823457373262,0.8042380559942461
4,5,45,1077.9463793282098,1079.823457373262,5.7466645233952285
5,0,50,742.8054067124193,1151.2624590047017,393.4967778068499
5,1,42,1057.578227768656,1151.2624590047017,218.1894326551236
5,2,45,1142.8606473265472,1152.0554472536073,46.16724640871671
5,3,48,1150.1648355081636,1152.1699637414722,0.6899964204122617
5,4,44,1132.5575407379063,1152.1699637414722,95.8155264755309
5,5,45,1150.4096562311051,1154.0629997593983,3.854378739450669
6,0,50,831.6031183480594,1261.6357358503878,400.8723325534085
6,1,46,1154.669198958791,1261.6357358503878,104.50695055610053
6,2,44,1198.903348331797,1261.6357358503878,123.98250809187863
6,3,50,1242.1223639312402,1261.6357358503878,86.26793378448252
6,4,44,1244.5942578497127,1261.6357358503878,86.45342421697728
6,5,48,1256.8773142588634,1261.6357358503878,4.1064834273410415
7,0,50,847.9991234717149,1244.9784232212478,383.38431626569326
7,1,45,1085.4808291388758,1244.9784232212478,231.9191464489168
7,2,45,1214.9608054003677,1245.5767704337602,100.15960075077736
7,3,44,1230.8690796008939,1245.5767704337602,87.67786032719309
7,4,46,1243.5440029717697,1245.5767704337602,1.1009162965494548
7,5,46,1243.8318068741164,1245.5767704337602,1.199458148080538
8,0,50,844.9550430551021,1230.619820804447,400.4429698647821
8,1,47,1110.0719564248436,1229.7168843359284,197.1523106996456
8,2,41,1201.7412734734173,1229.7168843359284,96.58479042217017
8,3,41,1213.9407619566775,1229.7168843359284,70.07771650360621
8,4,42,1228.7126191489015,1229.7168843359284,0.9088091275237927
8,5,48,1228.78782147758,1229.7168843359284,2.9112992121233963
9,0,50,841.6440761470709,1227.3413961398674,340.99879907904875
9,1,46,1098.9698289378712,1227.3413961398674,164.8635299584143
9,2,45,1223.522649577117,1227.3413961398674,2.789515021860789
9,3,43,1222.8959207953924,1227.3413961398674,8.980651531944583
9,4,44,1224.344320357023,1227.3413961398674,2.2832813149857714
9,5,45,1224.747009313613,1227.3413961398674,1.1513039142605537
10,0,50,673.6643386525132,1156.435588608904,415.08409329471573
10,1,44,904.8448291331129,1156.435588608904,321.4747711685198
10,2,43,1114.055370818444,1156.435588608904,112.97550783362693
10,3,49,1135.323848066529,1156.435588608904,59.65905553513613
10,4,43,1155.714672884177,1156.4428470298724,1.2097109888105557
10,5,43,1155.4947995075684,1156.4428470298724,3.9856698761324982
